,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
461,W,N,N,C,C,Q,L,L,H,S,V,V,K,M,P,T,T,F,F,G,G,Z,J,J,B,B,X,X,W,R,R,D,N,C,Q,L,H,S,S,V,D,K
462,S,J,X,D,D,K,G,T,T,B,W,W,L,H,H,V,N,F,C,R,R,S,S,M,M,Q,Q,P,P,Z,J,J,X,D,K,G,T,T,B,W,T,W
463,L,H,T,T,S,S,J,W,P,R,L,N,M,M,X,V,Q,D,C,K,K,B,F,F,G,Z,Z,H,T,T,S,S,J,W,W,P,P,R,R,L,V,L
464,W,R,G,D,D,X,Q,Q,W,W,S,S,H,P,L,L,M,M,N,F,T,Z,B,K,C,J,J,V,V,R,R,G,G,D,X,Q,W,W,S,S,W,H
465,K,C,C,J,J,V,W,S,B,Z,R,R,H,G,X,X,L,L,F,N,N,D,T,T,Q,Q,M,P,K,K,C,J,V,V,W,W,S,B,Z,Z,Z,R
466,T,D,D,H,H,Z,Z,N,N,W,W,P,P,R,T,T,B,Q,L,L,S,V,V,G,K,C,C,J,F,M,M,X,D,H,Z,Z,N,W,P,R,K,T
467,W,T,T,V,V,X,X,D,B,B,C,M,M,F,F,S,S,R,R,P,P,L,Z,K,N,J,J,Q,G,H,W,T,V,X,D,D,B,C,C,M,Q,F
468,T,V,S,J,R,X,X,H,G,N,N,W,W,Q,Q,P,F,C,K,K,B,T,L,M,M,Z,D,D,V,V,S,J,J,R,R,X,X,H,G,N,R,N
469,H,K,F,X,X,C,D,T,Q,Q,S,B,B,H,J,P,P,V,G,G,M,M,Z,L,R,R,W,W,N,K,K,F,X,C,C,D,T,T,Q,S,D,S
470,J,Z,W,W,M,F,B,C,N,N,H,H,T,T,L,S,S,R,R,P,Q,Q,V,X,K,K,G,G,J,D,Z,W,M,F,F,B,C,C,N,H,W,H
471,V,H,L,Z,T,R,F,Q,Q,X,J,B,B,V,K,K,W,W,M,M,C,C,N,N,S,D,G,P,H,H,L,Z,T,T,R,R,F,F,Q,Q,B,X
472,L,B,N,N,W,V,D,M,M,R,R,G,G,Q,S,S,H,P,P,Z,K,K,X,C,C,L,J,J,F,T,T,B,B,N,N,W,V,D,M,R,Q,G
473,H,J,J,H,H,X,X,W,W,F,G,D,P,N,N,V,B,S,Z,Z,K,K,T,R,M,M,C,Q,L,J,H,H,X,W,W,F,F,G,G,D,X,P
474,R,V,L,L,F,F,T,N,C,C,S,R,J,J,G,G,W,D,D,P,X,X,M,B,H,Z,K,Q,Q,V,L,L,F,F,T,T,N,N,C,S,S,R
475,Z,T,T,Q,Q,G,R,R,S,K,B,B,V,V,P,P,C,F,F,L,M,J,Z,D,D,W,N,N,X,X,H,T,Q,G,R,S,K,K,B,V,H,V
476,R,G,N,P,X,X,H,H,S,K,K,L,L,Q,M,M,B,F,F,J,R,R,W,D,V,V,C,T,Z,Z,G,N,P,P,X,H,H,S,S,K,H,L
477,W,K,X,R,S,D,D,T,T,L,C,F,M,M,V,V,H,H,W,W,G,G,N,N,Q,B,Z,P,J,K,K,X,R,R,S,D,D,T,L,C,K,C
478,L,G,Z,C,R,R,H,H,B,W,F,F,K,X,P,N,T,V,M,J,J,L,L,D,D,Q,S,S,G,G,Z,C,R,H,H,B,B,W,W,F,T,F
479,V,J,H,X,Z,Z,W,D,M,Q,Q,T,P,P,G,B,L,L,K,K,N,N,S,S,R,F,C,V,J,J,H,H,X,Z,Z,W,W,D,M,M,C,Q
480,W,K,K,M,M,R,D,X,Q,L,P,V,G,H,F,F,W,W,T,J,N,N,S,S,B,C,C,Z,K,M,M,R,R,D,X,X,Q,Q,L,L,M,P
481,C,D,M,N,W,Q,L,S,S,C,X,T,V,K,K,P,P,J,R,H,H,G,Z,F,F,B,D,D,M,M,N,N,W,Q,Q,L,L,S,S,C,S,C
482,G,C,C,P,P,R,Z,Z,X,X,D,D,M,M,K,H,Q,S,V,G,G,J,B,B,N,T,L,F,W,C,C,P,P,R,Z,Z,X,D,D,M,M,K
483,D,S,S,H,C,G,W,W,D,N,N,P,P,Q,K,L,L,T,X,X,B,R,J,V,V,M,M,F,F,Z,S,H,H,C,C,G,W,D,N,N,L,P
484,V,R,P,K,K,D,T,N,N,Z,Z,X,X,J,Q,W,F,F,B,B,L,H,M,G,G,C,C,V,V,S,S,R,P,K,D,D,T,N,N,Z,Z,X
485,T,J,G,G,X,M,M,Z,Z,D,D,C,H,V,N,N,L,W,T,R,R,Q,P,P,F,S,S,K,B,J,G,G,X,X,M,Z,Z,D,D,C,C,H
486,J,N,N,Z,F,F,L,K,M,M,C,R,T,T,Q,Q,J,V,V,G,G,D,D,P,H,S,S,B,X,W,N,N,Z,Z,F,F,L,K,M,C,L,R
487,Q,B,V,V,G,G,R,R,L,K,D,Q,M,P,C,C,S,X,N,F,F,J,J,T,H,H,W,Z,Z,B,B,V,G,R,R,L,K,K,D,D,X,Q
488,N,H,C,C,F,J,D,D,R,R,G,G,S,N,N,T,Q,V,K,K,Z,M,P,B,W,X,L,H,H,C,F,F,J,J,D,D,R,R,G,S,P,S
489,B,P,P,Q,G,G,R,Z,W,W,C,B,L,J,F,K,K,M,X,H,S,S,T,T,D,V,N,N,P,P,Q,G,G,R,Z,Z,W,C,C,B,W,B
490,Q,C,K,K,G,B,B,V,D,D,N,N,J,J,W,X,S,Z,Z,P,P,M,H,H,F,Q,Q,R,T,L,C,C,K,K,G,B,V,D,N,J,H,J
491,F,B,X,X,Z,L,N,K,P,P,S,S,H,H,F,C,C,Q,D,J,W,G,M,M,R,T,V,B,B,X,X,Z,Z,L,N,N,K,K,P,S,J,S
492,M,P,S,B,B,L,J,M,M,X,X,N,Z,K,K,V,W,W,R,G,H,H,T,D,F,Q,Q,C,P,P,S,S,B,L,J,J,M,M,X,X,K,N
493,B,M,K,K,C,J,W,W,Q,Q,R,N,N,D,P,P,L,F,H,Z,V,V,G,G,S,S,X,T,B,B,M,K,C,J,W,W,Q,Q,R,R,V,N
494,M,S,K,K,C,P,B,B,F,F,Z,L,M,W,W,Q,J,T,N,N,V,D,D,H,H,X,X,G,G,R,S,K,K,C,P,B,F,F,Z,Z,Q,L
495,G,M,R,S,S,X,X,T,T,D,H,H,V,Q,G,K,C,C,L,P,P,W,F,Z,Z,N,J,J,B,B,M,R,S,X,X,T,T,D,D,H,B,V
496,H,L,L,V,W,F,F,G,Q,Q,P,M,M,K,R,D,S,S,T,T,J,B,Z,H,H,X,C,C,N,N,L,V,W,F,F,G,Q,Q,P,M,P,M
497,W,X,X,L,L,R,Z,Z,C,N,G,Q,Q,F,F,D,W,H,H,B,T,K,K,S,V,J,P,P,M,X,X,L,L,R,Z,C,C,N,N,G,M,Q
498,N,W,Z,Z,M,M,S,S,N,N,G,V,V,C,J,F,X,H,H,B,R,R,P,Q,T,D,D,K,L,W,W,Z,M,M,S,N,G,V,V,C,Z,C
499,K,X,X,P,P,D,Q,Q,T,T,C,V,V,N,G,F,L,B,W,W,S,M,M,H,H,R,J,J,Z,K,X,P,D,D,Q,T,T,C,V,V,S,N
